SRF034.B,SRF035.B,SRF036.B,SRF037.B,SRF038.B,SRF039.B,SRF061.B,SRF062.B,SRF063.B,SRF064.B,SRF019.B,SRF020.B,SRF021.B,SRF022.B,SRF023.B,SRF024.B,SRF025.B,SRF026.B,SRF027.B,SRF028.B,SRF029.B,SRF030.B,SRF031.B,SRF032.B,SRF033.B,SRF072.B,SRF073.B,SRF065.B,SRF066.B,SRF067.B,SRF068.B,SRF069.B,SRF070.B,SRF071.B,SRF001.B,SRF002.B,SRF003.B,SRF004.B,SRF005.B,SRF006.B,SRF007.B,SRF008.B,SRF009.B,SRF010.B,SRF011.B,SRF012.B,SRF013.B,SRF014.B,SRF015.B,SRF016.B,SRF017.B,SRF018.B,L9,L10,L7,L4
6,5,7,6,5,6,6,5,2,6,5,6,3,6,3,6,7,2,5,6,7,3,3,5,3,75,5,2,6,5,3,2,6,3,4,5,3,5,5,3,5,2,2,5,5,5,6,4,5,2,5,5,0.00638553098973243,0.029484618342853618,0.010486436684548866,0.018233821873354962
3,5,7,6,2,6,7,6,7,6,4,7,7,7,4,4,6,7,3,6,6,7,4,1,1,NA,NA,6,6,6,6,1,1,1,6,6,3,1,1,6,3,6,1,6,1,1,6,6,4,1,6,6,0.08480191820539021,0.014514657818449652,-0.08193015039433936,0.04514239769213961
7,7,7,7,7,7,4,4,1,4,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,100,5,5,4,1,1,1,6,1,5,6,3,5,1,1,6,1,1,5,2,6,6,6,1,1,4,2,0.3324774769737281,0.09453097745931288,0.20101747799798417,0.1321124519828457
4,4,4,4,4,4,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,4,80,5,4,4,4,4,5,4,7,2,1,4,6,1,6,5,1,1,4,2,4,5,4,1,2,5,3,0.13388078608841222,-0.010702351274593175,-0.02606329752288227,-0.014576057015084052
4,3,4,3,1,1,3,4,3,4,1,4,3,4,3,4,3,4,4,3,4,3,4,1,4,75,2,3,4,4,3,3,3,4,3,1,1,2,6,6,4,4,4,2,4,2,2,3,4,4,1,1,-0.32046950814729913,-0.21207654392064584,-0.3062381640289758,-0.16561501817602658
7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,7,1,1,1,1,1,7,1,6,6,6,4,1,1,6,1,1,6,1,6,6,6,1,1,6,6,0.485440971874158,0.2019708683638764,0.29902229042404305,0.1835020507207464
5,5,4,5,5,4,4,4,3,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,50,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,4,-0.036926037558653244,-0.032969414417879095,-0.04419491222560131,-0.026621848013831478
6,7,7,6,7,5,1,1,1,6,6,7,7,6,6,7,7,4,6,6,7,4,6,5,4,90,6,3,4,3,3,1,7,1,4,6,5,5,4,1,5,1,3,6,4,6,3,6,1,3,4,6,0.2422404227502018,0.09008080303092438,0.2123376501299737,0.07992017367364111
7,7,7,7,7,7,6,2,3,7,4,7,4,4,6,7,7,6,4,6,7,6,6,5,6,30,4,1,1,1,1,1,7,1,6,4,6,6,1,2,6,1,1,4,1,6,6,6,3,4,6,6,0.1800088579451899,0.1324700235247577,0.18924040768527856,0.06293700365774124
7,6,7,7,7,6,5,5,2,5,7,7,6,7,7,7,7,6,7,6,7,6,6,7,6,85,7,3,4,4,4,5,6,2,2,4,6,5,6,1,6,1,1,6,3,6,5,6,1,1,5,6,0.3476856206303831,0.12766927525217353,0.23658742968128332,0.10242054468659105
7,7,7,7,7,7,7,7,1,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,5,80,6,1,7,5,5,5,5,1,6,6,4,1,5,2,6,1,2,5,1,6,5,5,1,1,5,6,0.32708657942379854,0.1543446260851407,0.12062576192176314,0.1318910633778871
4,5,6,5,6,6,5,6,1,6,4,5,6,6,5,6,5,6,7,6,5,5,6,5,4,90,6,3,6,3,4,3,5,6,4,3,4,5,4,3,5,2,2,4,3,4,4,5,1,5,4,3,0.11795909716149974,0.01805819094035547,-0.015295227974912385,0.01874787765008392
1,1,7,1,1,1,1,1,1,7,1,7,1,7,1,7,7,7,7,1,7,7,7,1,1,50,7,1,1,1,7,1,1,1,1,1,5,1,1,6,6,1,6,1,6,6,6,1,1,1,6,1,-0.04124316396960785,-0.11154616558423074,-0.2537109721695451,-0.1722940919079459
